accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
1382	5803	-417.2484407901	4.1864334143	-5.6874906139	-3.7627354364	0.0607508747	2.8195539226	-0.2415607061	2.2990080932	-1.1521923961	3.1460966567	-1.2910251294	0.6575773861	-0.2172916415	1.1112275854	0.7681944125	-1.1620415090	0.0853335892	-0.4562098899	2.3099857664	-0.8507472094	0.6474649048	0.2396527102	-1.5552378186	-0.0867983834	-0.0579004186	-0.0400123546	-0.0282726641	0.6933978574	0.3297343984	0.0448536783	-1.2101110902	-0.4626735481	0.7035841281	-1.4398093082	0.5271854633	-0.3735045858	-0.6920388207	-1.3762805158	0.9199822561	-0.5088527978	-1.5120858014	0.5439103825	1.0190030276	-1.3702786599	0.2292698356	0.4666897225	-1.2909505384	0.1493202931	0.8308826525	-1.0056068004	0.3300255289
1383	5804	-417.8181785156	4.1833880962	-5.6075982599	-3.6401706651	0.2908222291	2.6781517713	-0.2461782887	2.1409404041	-1.4607448665	3.2676591964	-1.5385663594	0.5790671202	-0.2167969373	1.0131323404	0.3976935651	-1.5386049926	-0.2935184988	-0.3172540907	2.2364886273	-0.8570569013	0.9418255022	-0.1260914298	-1.6211243136	-0.2080854671	-0.1661621950	0.2042839905	-0.2224383099	0.3124585697	0.1592642819	0.0380213105	-1.1391547624	-0.5510704757	0.8730701107	-1.5585149863	0.3589904537	-0.3551704049	-0.8158154859	-1.1056628166	0.9249147969	-0.3060280351	-1.8210218908	0.3554033632	0.8981582553	-1.1793231472	0.0195132497	0.8027721307	-1.3363503567	0.2802607459	0.7743467612	-0.9693163939	0.1497659523
1384	5807	-418.9157244186	4.1614024536	-5.2963907826	-3.8206854519	0.2098582734	2.7178887664	-0.3149741118	2.2717327488	-1.4757101416	3.1327972520	-1.4769783345	0.8747663238	0.0751249407	0.9669194358	0.3423580563	-1.7902550493	-0.6251462816	-0.5227174109	2.3041967679	-0.6593481485	1.0122962957	-0.3432499243	-1.6616847284	0.0817793946	-0.4697043992	0.3830904176	-0.4449716282	-0.0942259414	0.5049329643	0.1747374942	-1.3563940153	-0.6266484315	0.7457150227	-1.6087465865	0.0862369922	-0.4752214730	-1.0734334456	-1.1408484557	0.9659527590	-0.3590685059	-1.8737593393	0.7037667648	1.1382575218	-1.4437190357	0.0748902741	0.4441859961	-1.2944309372	0.2664306319	0.5914851847	-1.3644603722	0.3914135407
1385	5809	-419.6790275198	4.1658903374	-5.1536241695	-3.7609572519	-0.0200438591	2.5017540797	-0.4037774887	2.3702800679	-1.6615985024	3.1178871768	-1.3742971856	0.9469674989	0.0669106791	0.9246492675	0.4701263322	-1.8974771724	-0.5963599911	-0.5203780302	2.4399792401	-0.5484133564	1.1096145359	-0.2180170992	-1.7672382625	-0.0878231792	-0.6082450062	0.4997683884	-0.4746988435	-0.1611462502	0.5340233911	0.3074602379	-1.2234827561	-0.7170570024	0.6004873799	-1.2839992983	0.1884723990	-0.2626342842	-1.0493194942	-1.2127455566	0.9846873437	-0.1233155613	-1.9668476000	0.6429330470	1.1930088805	-1.2281698888	0.0642466159	0.5892718394	-1.7936330070	0.5675732423	0.6177978383	-1.4752797316	0.5434203643
1386	5817	-424.0316097145	4.2664218491	-5.1930384005	-3.7761642504	-0.3931401252	2.4052728343	-0.5128473478	2.2413433922	-1.5943647906	2.9310440177	-1.3350599107	0.9285450977	0.1263509052	1.2778930517	0.4206599541	-1.9219616156	-0.8048817787	-0.1538441144	2.7009099915	-0.1496247955	1.1411188481	-0.1974848996	-1.8097589972	0.3699137540	-0.4806608767	0.5039502160	-0.6944459426	-0.2447977677	0.3842020745	0.3188449439	-1.1220375056	-1.0456141952	0.9834163056	-1.4568365891	-0.1250544320	-0.4410427024	-1.0339700973	-1.1561104412	0.6395252048	-0.1162845673	-1.6835577045	0.7971551717	1.1389782320	-1.2293080025	-0.0841830184	0.8437907735	-1.7562739233	0.1820363508	0.8474069012	-1.4587443385	0.5798016298
1387	5823	-424.1364847836	4.1595570063	-4.6776663973	-3.6495741055	-0.7294308867	2.2499965082	-0.3608333671	2.1481983854	-1.6923609577	2.9869889276	-1.1988170419	1.1225929280	0.2271088403	1.2659553799	0.3830605786	-1.6405001865	-0.8329991242	-0.2290549504	2.7562874461	-0.0910162293	1.1665738412	-0.0903630508	-1.9005828168	0.3402112729	-0.6613278703	0.5092976882	-0.5778194145	-0.1249611421	0.7694279258	0.2923882981	-1.1380894675	-0.8540541305	0.7874435068	-1.5509258873	-0.3164873341	-0.2007793073	-1.0617118794	-0.9152579580	0.4608849009	-0.0718665674	-1.6080125838	0.6912129153	0.9105742674	-1.1345594973	-0.0669982288	0.6602049424	-1.9601274747	0.1900218059	0.7050676322	-1.6842826505	0.5040872902
1388	5828	-424.2255792714	4.1892338379	-4.9646358283	-3.8165923456	-0.6257654263	2.4615258467	-0.2111485730	2.5186037611	-1.8790948089	2.6900497365	-1.1504329067	0.9768236552	0.4323673467	1.4126422822	0.4436648846	-1.6328875079	-0.6249070479	-0.4561174376	2.8112723075	-0.2778291284	1.1299175464	-0.2374193363	-1.8283818846	0.1836941452	-0.4802462981	0.7885959299	-0.6519865903	-0.1181728936	0.7603830875	0.3597798740	-1.2815913939	-0.5804825774	0.6260666709	-1.6163830678	-0.0841984765	-0.1373914272	-1.2525235247	-0.9550187730	0.7527171628	0.1925484566	-1.3394664622	0.4400135003	1.1598071335	-1.2366154631	-0.1474747618	0.6195188815	-1.7288471340	0.5007434733	0.5930009850	-1.6772162036	0.1814054095
1389	5830	-421.9331844149	4.3955801796	-5.2642423232	-3.5452890665	-0.5361341748	2.1749252033	-0.0298219664	2.5118402658	-2.2000752508	2.8672887381	-1.2169631927	0.9328548905	0.3715428482	1.3500758181	0.3402433134	-1.9325788048	-0.5807778708	-0.2960440536	2.7505076749	-0.2822620905	1.0898089532	-0.3931850123	-1.7823339058	0.5285826868	-0.7428045373	0.8293784003	-1.1035327157	-0.3015056745	0.8639430677	0.6491690784	-1.5219223914	-0.3266872388	0.5773966260	-1.4358907072	0.0777668117	-0.0131835332	-0.9319371331	-0.8047599458	0.7248634326	-0.0502396764	-0.9054424231	0.3111714614	1.4451318041	-1.3576263412	-0.1653603622	0.6729446125	-1.3526920557	0.6054806026	0.6594351175	-1.9198550607	0.3095491577
1390	5831	-420.3740887263	4.5243867389	-5.3853705102	-3.7125931858	-0.3971128057	2.3571892066	-0.0076964440	2.5131309845	-2.2162347753	2.6555909952	-1.3392530108	0.8619178297	0.2333334607	1.4610742703	0.2770199573	-1.9241208453	-0.3636240610	-0.4663035559	2.3058197816	-0.3534488325	1.3551422169	-0.5234914034	-1.3928719501	0.2195266391	-0.6807827421	0.7489949030	-1.3365097871	-0.1255455144	0.8976742672	0.6897427257	-1.7957769097	-0.4275687446	0.7013692545	-1.8285591434	0.3830598769	-0.0198423873	-0.8920373134	-0.5647210516	0.6153047363	-0.0911326840	-0.6732324306	0.0335217985	1.1135553189	-1.3377478808	0.0847513141	0.8039563877	-0.9779855345	0.4718753911	0.5259815686	-2.0446825128	0.3439729705
1391	5832	-421.0611238195	4.4322395670	-5.5918880338	-3.7973813817	-0.3265029623	2.3934079460	0.1672953749	2.3202417641	-2.2128666958	2.5108900235	-1.9795208213	1.1521208412	-0.3124212868	1.7053556464	0.4559826102	-1.8756780565	-0.0287532638	-0.5325770314	2.1236869327	-0.6310263212	1.3730729475	-0.7661054959	-1.2085873467	-0.1006358640	-0.6382049111	0.5948974955	-1.3432016332	-0.3105865375	1.3472338884	0.6575266523	-1.7325605947	-0.1900400683	0.5693560303	-1.5803657755	0.4490020180	-0.2653401072	-0.8332413647	-0.5375215579	0.5381121989	0.1268940057	-0.5330611733	-0.1204624948	1.2614794733	-1.0864962149	-0.0738842451	0.8755180549	-0.7818069301	0.3458960931	0.2971035891	-2.0234262246	0.6386722184
