accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
1677	6884	-415.5642149195	1.4544020361	4.2002666807	-5.5740356308	1.5509340583	-0.1767676750	1.3339896532	2.5808452602	-1.3452535503	1.1889674431	0.0705703103	-1.7115289889	-2.3665797418	-0.0812554869	2.1313412291	-0.0607184713	0.5665962478	-3.2377892339	0.6425168463	0.2805257095	-1.4873820197	0.1251840687	-0.3971343672	-0.2836811636	1.3035045726	2.1098027700	-0.8612030893	0.5074102230	0.4807842098	1.4313551979	-0.2642905200	0.1183561448	1.2815629559	1.7680242627	0.9735991857	-0.8202233228	-0.0491465639	-0.3729292654	-0.0717562980	-1.2536213989	0.0970238478	1.0837214067	0.9121140850	1.1447011665	-0.8454926200	0.3046142459	-0.0431173780	-0.1213145798	-0.1143009350	-0.5652577959	0.4506684546
1678	6889	-414.5858683109	1.4081997749	4.3651710732	-5.5566127485	1.5532353785	-0.5341481784	1.0672011192	2.1757540387	-1.0194606856	0.9127231423	0.4113311830	-1.6023524378	-2.5904424874	-0.0728475439	1.8915866636	-0.1722454216	0.7027250060	-3.4219043770	-0.0974738026	0.3319624206	-1.5307377461	0.1283970288	-0.1577895027	-0.1181599171	0.9713088106	2.0507624750	-0.7529785860	0.6183365320	0.8002764946	0.8548423958	-0.1659638275	0.0574708962	1.3858024831	1.9146086739	0.7157936458	-0.9253551138	0.0404390659	-0.2758282769	0.3572365802	-1.1400501613	-0.0150899725	1.1879445107	0.8890422342	1.1346925846	-0.7058520212	0.2423723735	-0.2240039719	-0.0852141306	-0.3564480259	-0.4325596376	0.1139771393
1679	6893	-414.0729713786	1.4682159085	4.6073655745	-5.5030531374	1.2370267519	-0.3371289575	1.1664148020	2.7343430058	-1.0361192361	1.1491067967	0.1768158247	-1.6626520885	-2.4053489359	-0.2621194243	2.0286045490	0.3403823812	0.9551326896	-3.2379403579	-0.0793160599	0.2492577062	-1.6686527744	-0.2329949707	-0.0485007525	0.1294796794	1.0878452242	1.5796179719	-0.7933319858	0.6397639113	0.7631583464	1.0048300287	-0.2783767543	0.0946240671	1.3315218346	1.9138089366	0.6075064004	-0.8811605938	0.0425776646	-0.3499753790	0.5665567447	-0.9989027502	-0.0171721076	1.0137307501	1.0179027671	1.1268448677	-0.7536356271	0.3163057210	-0.2113139632	-0.1572509180	-0.0605955780	-0.6273107010	0.0749606886
1680	6894	-415.7271995091	1.3457192209	4.4140855896	-5.2353507033	1.3369719148	-0.1440555631	1.1968895101	2.9936935510	-0.9369098857	1.3320470335	0.2341284596	-1.7519833194	-2.4303783566	0.0298961128	2.2721374243	0.1161933005	0.9490083539	-3.0979819777	-0.3952251102	0.2928649382	-1.4870824644	-0.1183701048	-0.1038303448	0.0864326708	1.0995925012	1.3354748719	-0.9872826183	0.6686117260	0.7004416573	0.8608345556	-0.0584848708	0.1179929244	1.4682587095	1.9132853137	0.2958901598	-1.0293342879	0.1379161905	-0.1472683749	0.4445345382	-0.9914395609	0.3568112883	1.2758072252	0.9056423356	1.3910071440	-1.1532359787	0.1563399721	-0.1385898621	0.0327650645	0.2016710261	-0.5808821264	-0.4539920103
1681	6897	-416.6993127258	1.4459260541	3.9787728020	-5.4260362658	1.2897052142	0.0882174814	1.3157117065	3.3311424184	-1.0271102635	1.2817556882	0.2936487615	-1.9728117775	-2.4914882953	-0.1307701222	2.3758577625	-0.2292742910	1.0008286667	-3.2878861646	-0.6304106984	0.1491386486	-1.3604938821	-0.0414114871	0.1821166472	-0.1161952444	0.8434134816	1.2804483790	-1.0014980260	0.7506107194	0.9226690877	0.5216897498	-0.1413954830	-0.0827498670	1.5124915614	1.6593998676	0.4362833480	-1.0125445243	-0.1732423825	-0.0148811733	0.5560324815	-0.5978553940	0.1818172761	1.1102678629	0.6815497639	1.0865810223	-0.7957237868	0.1481874343	-0.2252713636	0.2267433861	0.1681221128	-0.2147010858	-0.8389106438
1682	6898	-415.8027844424	1.3742567885	3.8124659119	-5.5982308018	1.0178140351	-0.5590448121	1.4600466198	3.0137447232	-1.2407124677	1.1616860408	0.3146815882	-1.9983945173	-2.7433994752	-0.5497292575	2.1018992073	-0.2235630435	1.2892320553	-3.1017659038	-0.4721137829	0.0166653590	-1.3585344086	0.2661541849	0.1043627049	0.0910989600	0.9603541100	1.2651274028	-0.8622014844	0.7356044373	1.2388766459	0.3149466730	0.0679796107	0.0220574754	1.3776995805	1.5365764222	0.5509200882	-0.6504051628	-0.3915388818	-0.0255742704	0.3867882951	-0.5762267049	0.1267945933	1.0227751922	0.7353283924	1.0184389392	-0.6413508902	0.1265355177	-0.3439379223	0.2045545828	0.3171117248	-0.0931942479	-0.9054704284
1683	6899	-416.7106233118	1.3504878484	3.8702933505	-5.2494164809	1.2831165508	-0.6224482279	1.6122918137	3.2709447923	-1.2608141289	1.2399181882	0.5195122731	-2.2627305422	-2.9889333745	-0.4473624897	2.0120760209	-0.2264624370	1.4029059620	-2.8114477786	-0.5445293232	0.5326567443	-1.2130426709	0.1375221668	0.4345761669	0.2959115820	1.1476654562	1.4485061344	-0.6702126397	1.0469553258	0.9829867077	0.3799827499	0.2090334181	-0.1885036266	1.2542849356	1.4629385124	0.3032682023	-0.4948243980	-0.6759007723	0.1750884205	0.5188942095	-0.5051983903	0.2489804631	1.0660807175	0.6786648341	0.7109212112	-0.5582271954	0.0868749464	-0.2338971372	0.2848271722	0.4227431705	0.1116282663	-1.0812535738
1684	6900	-415.4896671610	1.5926422372	3.8506356923	-5.5325645854	1.4023476628	-0.5928888527	1.6890364544	3.0213931495	-1.4788190510	1.2849298661	0.5460210167	-1.9785975015	-2.8190862834	-0.4263442958	2.2526275104	-0.4499036853	1.3610691616	-3.1453589661	-0.2773154245	0.5616805934	-1.4733421654	0.0874972426	0.1651960241	0.3143318879	1.1455007143	1.3645573551	-0.7558590555	1.0676424170	0.9447628221	0.2944462975	0.5894418846	-0.3568040963	1.1555899779	1.5499190653	0.3783926517	-0.4794786689	-0.4396690505	0.1954511068	0.7994266610	-0.6350757847	0.5839849401	1.0831671298	0.3754064452	0.6559641230	-0.5605705294	0.1111570148	-0.3232760811	0.2642544437	0.3941131234	0.3917127496	-0.9977912038
1685	6902	-414.6197934587	1.8017091691	3.9040245030	-5.2474429168	1.4281340902	-0.3431609808	1.4583121286	2.9903442479	-1.6460166817	1.1025474369	0.5264439599	-1.8455120807	-2.9371878236	-0.8575266382	2.1111849309	-0.5321823262	1.2601204354	-3.1965519582	0.0836712584	0.4148729738	-1.4810529154	-0.0011840981	0.2389009868	0.6366782450	0.9471038225	1.2785231061	-0.8681594966	1.0767350854	0.9899670443	0.1670195281	0.6654572382	-0.5487404862	1.0796522599	1.3980339171	0.6935979185	-0.8041445130	-0.2096017954	0.0636560597	1.0954520585	-0.5292346021	0.6762580276	0.9860491820	0.6554128010	0.6657929275	-0.4543281409	-0.0097856796	-0.1082457552	0.1596390277	0.2378940395	0.3223848510	-0.6972601830
1686	6915	-414.2647601241	1.6688935615	3.8600695496	-5.3880431510	1.4570715432	-0.3524913340	1.7920479457	2.9377364528	-1.6249316446	1.0629733233	0.5240585895	-1.6897368328	-2.9483666261	-0.9114201002	1.8535273692	-0.7917378101	1.1386641360	-3.1476833856	-0.1447333930	0.3691168859	-1.6982789707	-0.2774555846	0.5905556241	0.3391863364	1.0120724001	1.5009170964	-0.3822643180	0.8947106044	1.0511751408	0.1911731460	0.5912205248	-0.4798840749	0.9725488981	1.4846120091	1.0225125394	-0.4938679219	-0.0492426764	-0.1789812635	0.8550085114	-0.8763683828	0.8506545507	1.1322912837	0.4337149687	0.2720147469	-0.2337589423	0.2112533952	-0.0788302215	0.2020597960	0.2329394051	0.2540231957	-0.6420662892
1687	6924	-415.2396251766	1.5015679604	3.8377498802	-5.4447463248	1.2338932246	-0.4199547938	1.7822323316	2.8582854166	-1.5030028486	1.4201900402	0.6087360506	-1.6509812977	-2.7702090154	-0.6595898885	1.6116383914	-1.0300174084	0.8754143562	-3.1219808385	-0.1494047014	0.4692307771	-1.7596167723	-0.1025629402	-0.0928291737	0.3723564672	1.1816137675	1.7097796685	-0.3752597128	0.9040620611	1.2506747286	-0.1412057847	0.7025899543	-0.9067809200	1.4124839586	1.1543702422	0.7639264097	-0.5358674418	-0.0621266984	-0.2068836430	0.3158887365	-0.9533597637	1.0461248422	1.0487681110	0.2490082471	-0.0138527695	-0.2816060631	0.3400175972	-0.1920699959	0.0031676443	0.5827587262	0.3554357242	-0.8570339071
1688	6930	-417.8278797914	1.3818050385	4.0205420841	-5.0472858013	0.9392313676	-0.4550872410	1.8853707558	3.1138581590	-1.4566337956	1.0924053242	0.5129521508	-1.8900602170	-2.8803413821	-0.6480742071	1.5141551005	-1.2526504095	0.8512888790	-3.1450691540	-0.3019541702	0.2705383648	-1.9990669139	-0.4106666458	-0.1922196704	0.6089190877	0.9728359248	1.4335677743	-0.5827114690	0.8754723500	1.0786590312	-0.1195496645	0.7522051097	-0.8478126053	1.4246754965	1.0112679615	0.6935553643	-0.5257930034	0.0490639459	-0.1316280401	0.2958415805	-0.4951041578	0.7641685151	1.3332066076	0.5235214239	0.1919898057	-0.2231447700	0.5630056380	0.0616562706	-0.1580432383	0.7543517341	0.0599738132	-0.8485856085
1689	6933	-415.8798344056	1.3303343215	4.1225888761	-5.1453519917	0.8750038920	-0.4557818022	2.1995689074	2.9610778133	-1.7573801585	0.4542280703	0.2275588894	-1.5222099941	-2.8071018407	-0.2173908965	1.5016800832	-0.8332566280	0.8873392416	-2.9014558317	-0.2525918555	0.1572525420	-2.1370107652	-0.3791187375	-0.3406199091	0.3127073124	0.9498835650	1.1905732329	-0.7098335728	0.9584403947	0.6804008657	0.1514660187	0.6575377004	-0.6022633491	1.5826453455	0.8544363116	0.8042491137	-0.4967121742	-0.0276234782	-0.0162316789	0.4407013252	-0.8130352204	0.6441293509	1.3132992155	0.5574971918	0.2243753280	-0.2586334217	0.9343068315	0.2987133893	-0.4245705193	0.9986996095	-0.0764875133	-0.4558564468
1690	6934	-416.4330654461	1.3473890310	4.3728573384	-4.8988637783	0.7763903409	-0.5387582629	2.0914474753	2.9075696823	-1.6359492965	0.2267443796	0.1802562903	-1.7550080752	-2.7760438730	-0.2201792182	1.4838056969	-0.8943560691	0.5775907576	-2.8658421354	-0.3012003903	0.1883632740	-1.7781051550	-0.4538301108	-0.5683655839	0.6489032527	0.9542192391	1.4594220526	-0.9254851742	0.8376680018	0.8691206379	0.3916783152	0.8125017885	-0.4448036619	1.5220381127	1.0908579826	0.8895978795	-0.4326268774	0.0247980978	-0.0061822019	0.2708611488	-0.7405673668	0.6877862159	1.1338601041	0.6530526056	0.1726527534	0.0414611964	1.0881999849	0.3146728218	-0.7234130055	1.0508868088	-0.2119772474	-0.4282756805
1691	6937	-416.4580668791	1.2354488653	4.5685798157	-4.9120200037	1.0465337723	-0.5688149023	1.8962222207	2.6847522543	-1.6342244996	0.1606059948	0.1861522668	-2.0126844154	-2.5144154653	-0.3873641400	1.4977148287	-0.9266888457	0.3528965961	-3.0076653458	-0.1802132063	0.0861180531	-1.8301504503	-0.6184883132	-0.2598485997	0.3826251317	0.7904988258	1.5384440885	-0.8765288993	0.8411525936	0.6916953604	0.2231317033	0.7777483837	-0.6963903342	1.3707029339	1.0390753925	0.7292726281	-0.5621919813	0.0256534910	-0.1025327043	0.5265607787	-0.9697391084	0.7633649049	1.2978627161	0.5377123020	0.3283594633	-0.2364946113	1.3343347513	0.4996809108	-0.6243434409	1.2492599167	-0.1907472708	-0.8473061220
1692	6944	-417.9659030660	1.4717926000	4.6942478088	-4.9412074279	0.9384312100	-0.5731465746	1.9356677839	2.7508532991	-1.5406064750	0.1351388119	-0.1872175936	-2.1544366133	-2.9087339786	-0.5437652232	1.6095074691	-1.1275473140	0.4001783453	-3.0601779621	0.0638132724	0.1517638109	-1.9073292395	-0.7544008619	0.0037399718	0.1650215128	1.1446859637	1.6435729711	-0.8110735311	0.9244496623	0.8655142043	0.0643613134	0.5701361154	-0.6412013015	1.7226727088	1.2027476491	0.4934189901	-0.5964531694	0.0936717249	0.2292557698	0.5745205795	-1.0175683392	0.8011924781	1.2891841574	0.7245276058	0.4274323446	-0.3900457203	1.2761517386	0.5410790375	-0.5440689156	1.2934185769	-0.3646690097	-0.8849270691
1693	6945	-420.0318082815	1.4327037286	4.8288349252	-5.1060236306	0.8503650397	-0.3195570054	1.9161118991	3.0408926518	-1.5049492424	0.3490159486	0.0405385737	-2.0904179018	-2.7382326057	-0.8280825526	1.0564197800	-1.2545504819	0.4061698487	-3.2331276648	-0.2126743899	-0.0360129248	-1.9278079314	-0.5454002116	0.2631359669	0.0467544562	1.5206914808	1.3065115455	-0.9682327008	0.9001994802	1.0749967135	0.1417782254	0.5581075345	-0.4327139079	1.7050694698	1.2250459031	0.6913561840	-0.9099270892	0.6239664099	0.2047677730	0.4874125482	-0.7620449496	0.8577728546	1.2517891078	0.9855235995	0.3178359293	-0.5750058796	1.4947269059	0.4851420119	-0.6698325072	1.5452523766	-0.5626922349	-0.9173629226
1694	6948	-420.1559909027	1.4113679993	4.8915524762	-4.8628799856	0.6301073147	-0.4918384212	1.7520271736	3.2852297074	-1.6888061648	0.3327496926	0.0464316767	-1.9758328404	-2.2869890578	-0.5498673920	1.0608154411	-1.0723866353	0.4482786096	-3.1910466098	-0.2102762400	-0.1246448236	-1.7591458939	-0.6313301137	-0.1175161140	-0.1919876739	1.5394795038	1.4559950505	-0.8588822508	0.7283878034	1.1155343843	-0.0433266315	0.4825057087	-0.6165026274	1.9765806908	0.7751891540	0.6240834117	-0.8242141994	0.6127567276	0.1844245039	0.2878565901	-0.2952525056	0.9751457138	1.0336061195	0.9508666593	0.1572256788	-0.8911851053	1.3041845417	0.3526512199	-0.8009910522	1.6826803732	-0.9247505288	-1.0558003940
1695	6952	-419.8589441851	1.5385547867	4.4294212385	-5.0017620365	0.5254288303	-0.2425643561	1.4632633303	3.5146347271	-1.8431899991	0.2008506829	0.1533416792	-1.8414404812	-2.2300677635	-0.4042637164	0.7714875247	-1.0846861283	0.4322237528	-3.2675572346	-0.1811030391	-0.1444976172	-1.4131914220	-0.4892982131	-0.1209754558	-0.1280152644	1.7250966697	1.4431251580	-0.6867476663	0.7311004608	0.9935540446	-0.0127310566	0.2660084444	-0.5201635295	2.1268840117	0.9035060922	0.6911232004	-0.8832237261	0.6141764035	0.3460223957	0.1628175615	-0.3091360729	0.7189076103	0.7394189606	0.9131509309	0.4514247916	-0.7947322959	1.0367381627	0.5747655941	-0.7622398650	1.5374060859	-1.0436021836	-1.2485290178
1696	6953	-422.6656762154	1.3875123904	4.2270957286	-4.8578398403	0.6363518309	-0.5214611210	1.5533210230	3.5302482138	-1.4598094249	0.1065984685	-0.1448075173	-1.4336704297	-2.2634851615	-0.0993120654	0.7004210944	-0.8516367858	0.4817398512	-3.5098650084	0.1789621380	-0.3362061028	-0.9773354798	-0.2832617268	-0.3898161576	-0.1335621335	1.6557513759	1.0746563830	-0.7827357957	0.9155281555	1.2239927955	-0.1667712132	0.3728248809	-0.3733291457	2.2395584850	1.3070780085	0.3595758532	-0.6010657414	0.6794542457	0.4928469004	0.0792280884	-0.3401082585	0.8361422502	0.7769724736	0.8992239258	0.2110356143	-0.7104035351	0.9328467334	0.9915373026	-1.0247743069	1.9356074173	-1.3269680906	-0.8950608550
1697	6956	-421.3739448105	1.4976580871	4.1903869954	-5.0865023658	0.4382313923	-0.5521370869	1.5720970367	3.2974841356	-1.1237214806	-0.1422777385	-0.0913547681	-1.5467304624	-2.3169015336	-0.1661770550	1.0759364863	-1.0869721988	0.6016399806	-3.5628605283	-0.1000866393	-0.2717303086	-0.9269022511	-0.1524085165	-0.0801278484	-0.1103114252	1.3742244026	0.9991542149	-0.8965912845	0.6233449226	1.2331804742	-0.3373981948	0.4139954393	-0.4144715302	2.2740675253	1.2006289594	0.3925004219	-0.7573927432	0.5327665986	0.4802397554	-0.1788110290	-0.2953689670	0.8532787591	0.8120214849	1.2850922369	0.1218857429	-0.3556328229	0.8717494641	0.8047273349	-1.2167837771	1.6504084814	-1.2200398917	-0.9608132697
1698	6961	-419.8593373472	1.4277243903	4.2366685968	-5.3400853567	0.4587136100	-0.6089245215	1.5869626830	3.0399377628	-0.8134573482	0.1399220049	-0.0185554755	-1.7808251354	-2.3862714294	-0.2544448550	0.8834964385	-0.6933321376	0.4818078353	-3.2526017643	-0.1723436735	-0.5087926183	-1.1289129484	-0.2630082739	-0.1865941708	-0.1897324376	1.4052017049	0.8709074716	-0.6873611106	0.4115601945	1.1971553992	-0.3020343771	0.3182167707	-0.5708583781	2.1010645774	1.2644963575	0.5530686012	-0.8302889140	0.6046689766	0.1484076083	-0.0223148537	-0.2281714463	0.9360743377	1.1486402313	1.5584222898	0.0380263199	-0.2468179840	0.8195354925	0.6933801939	-1.3273145311	1.7965860041	-1.4309321096	-0.9189541417
1699	6963	-417.5809681292	1.5019163930	4.2302547386	-5.1113729818	0.3367847996	-0.5591334921	1.4589025382	2.9853664002	-1.1368027885	0.1553230608	0.1547496187	-1.5483502383	-2.2664844559	-0.2735215676	0.8316717337	-0.7642313118	0.2504035917	-3.2987440268	0.0573421371	-0.5857060260	-0.8486963860	-0.4607242824	-0.1709834147	-0.2199674571	1.2769786050	0.8970913014	-0.9090583754	0.2245673936	0.9898159057	-0.2725210721	0.5089243272	-0.7271786378	1.5128900250	1.1469918042	0.7447498017	-0.7164566121	0.6626803566	-0.0897782400	-0.2435402710	-0.1761368466	0.8077372421	0.8644226942	1.3676049905	0.0241242355	-0.3498774896	1.1701757733	0.6040761476	-1.2402114452	2.0291905319	-1.5621268415	-0.7361592222
1700	6968	-419.0296961149	1.4084014593	4.4283246751	-4.8908793746	0.6283960053	-0.2770253377	1.2487402073	2.9305840755	-0.8993412159	0.2478813134	0.0066785094	-1.5559358830	-2.1597112154	-0.2419425832	0.7123793206	-0.7219355947	0.7086608458	-3.5658919613	0.0045632408	-0.7227892639	-0.8330573805	-0.1698694473	-0.6009242758	-0.2176982003	1.1737012100	0.8213937727	-1.0183711082	0.1983076630	1.3919324189	-0.2373953018	0.3195635604	-0.7200818100	1.5882284314	1.4257433400	0.8334415939	-0.8501143830	0.7905782678	-0.0806073801	-0.1891347088	-0.4135051130	0.5848741205	1.0429396532	1.0193664473	0.0565192018	-0.3419376169	1.2256924747	0.6193339800	-1.0947368440	1.9701779186	-1.2794681504	-0.8187164460
