accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
933	4088	-417.0879093720	3.8996209274	-3.3909450630	-4.1755718207	0.6579727540	-1.0878421887	2.9833414505	1.0480239160	2.3209228815	0.3456471556	1.5223512485	-0.7146081032	-0.6083726003	0.9460698691	0.2498394887	1.5404588362	1.2313935226	0.7510761749	-0.4778390393	0.2106211882	-1.0261083613	0.9732732146	-1.0454272220	-1.2120360471	1.3143090019	-1.8463153692	-1.1799279940	-0.4312692159	1.4097883047	-0.2338441292	0.6998816893	0.3556476805	0.0885174933	0.3990367299	1.1047028284	0.9928697756	-0.8455423217	0.0444850962	-0.2794080847	1.5423774513	1.9098986472	-0.9311121267	0.5190051119	0.0988233354	1.3145870471	-0.8308438343	-0.8886228122	-0.0033528728	-0.0533604427	-1.8613810141	-1.8034436547
934	4094	-418.6501575436	3.8176660059	-3.5442564541	-4.2829565730	0.8146851492	-0.7165023029	2.7821746291	0.9979911795	2.1722852936	0.3185815852	1.1494014031	-0.4774994097	-0.8339811540	0.8819566622	0.2325558804	1.7540112139	1.0724876679	0.6998427822	-0.4357938735	0.1845184769	-0.8231451768	0.8290265225	-1.1380417778	-1.2240219836	1.2398547151	-1.7785604972	-1.3885683363	-0.2603388652	1.8047483335	-0.1282637375	0.8833678088	0.2779554877	0.1097165895	0.5550749749	1.1314437999	1.1163552831	-1.0617250190	0.3526184618	-0.0988256518	1.0190407126	2.0280271061	-0.7508589608	0.5743898626	-0.1306408366	1.3637629791	-1.0478248841	-0.6106650368	0.0733497170	-0.0277353769	-1.6630207207	-1.9790183882
935	4096	-419.2521497005	3.7823405452	-3.7314978098	-4.7481811137	1.0055653031	-0.9391924232	2.9159157965	0.9946308464	2.1785245028	0.4387290961	1.3154735023	-0.6265668335	-0.8992129814	0.7438063936	0.3563869222	1.8597733650	1.2104169788	0.7478511884	-0.3416684829	0.3269805510	-0.1801181348	0.8516442822	-0.8467498684	-1.0917643773	1.0118704093	-1.6244747548	-1.3531204804	-0.3930100290	1.6845580871	-0.0461941059	0.7791888433	-0.0214349958	0.0682143769	0.4846746968	1.0194817696	0.7987440391	-1.0616220981	0.6018652955	-0.1837129504	0.9639560694	1.8452880220	-0.8496284950	0.5806830233	0.0393065849	1.4346390298	-1.3079156137	-0.7457569214	-0.0438400776	-0.2570884725	-1.5299831943	-1.7369104289
936	4099	-417.5200463138	3.6453426437	-3.4911018294	-4.5664050037	1.2095150970	-0.8653104785	2.7135288110	1.1009153365	1.9786415328	0.5689216039	1.4746035612	-0.8135587199	-0.7662081768	0.6914041960	0.5612748383	1.8283732188	1.3770342552	1.0599761858	0.0027773894	0.6422237876	-0.1001735541	0.6668007198	-0.6582257522	-1.1355877359	1.0959054471	-1.5664619673	-1.1779962034	-0.4992770429	1.7642093850	-0.3223422910	1.0282061547	-0.4408853176	-0.1119396543	0.2793339895	1.2059971085	0.7496739634	-0.7133512399	0.3745280604	-0.3930370645	1.1617434207	1.7565985517	-0.9628546791	0.3519334442	-0.0403428855	1.4153636143	-1.2500684821	-0.6596398656	-0.0040669935	-0.1496550659	-1.5791438147	-1.4915473399
937	4104	-419.8396247095	3.5982360086	-3.8873686419	-4.7444853943	1.3124354970	-0.8418594604	2.6809226366	1.0025765305	1.8442552151	1.0735895185	1.3362347785	-1.1530484945	-0.7060700295	0.5729505764	0.6272230347	1.8869807557	1.4902959573	1.2467866921	0.0581338559	0.6470639557	-0.2240720777	0.7807228760	-0.7432487550	-0.9409494656	1.0465127173	-1.2322048297	-1.1449858114	-0.4583074010	1.5730706935	-0.5599136240	0.9020392926	-0.4934009752	-0.3354219662	0.1363819155	1.3059451296	0.7859903126	-0.7505291002	0.3377395887	-0.5748261935	0.9644664611	1.4288505393	-1.0897702411	0.0229355373	-0.0876401002	1.2862977530	-1.2473433503	-0.7389945490	-0.4396816107	-0.1529941135	-1.5931640819	-1.6083995375
938	4106	-421.2976222618	3.6488743663	-4.0287342677	-4.6945623209	1.2503860109	-0.8751359346	2.5135842109	0.9598936009	1.7367956915	0.7596627581	1.4150843832	-1.3982322246	-0.7516025365	0.4113355998	0.7710295769	1.8293559228	1.3971929309	1.2431754776	0.2095225139	0.2171059966	-0.3084590416	1.0731463862	-0.8024329863	-0.6836520300	0.7500501458	-0.9781022551	-0.7945355036	-0.4351310772	1.6949056209	-0.7926357570	0.5939406697	-0.7245002300	-0.3699476124	-0.0532805792	1.5667909341	0.7141234287	-0.7239844510	0.1862102931	-0.4159464301	1.0432579821	1.5780536531	-1.1131558783	-0.1482727236	-0.0961902809	1.2130942762	-1.6504269169	-1.0722339354	-0.4397462061	-0.4848531801	-1.8534908027	-1.3476259289
939	4108	-420.9766536810	3.6369690190	-3.8582959022	-4.6161673633	1.1503606935	-0.8591288664	2.6985270563	1.1416903337	1.9513970842	0.3770749455	1.5398244093	-1.3457039356	-0.5357093426	0.3109740563	0.8992071247	1.6209890605	1.7837929178	1.0633778973	0.3770059470	-0.0051034558	-0.0054521281	0.9101175373	-0.6050494061	-0.5949435197	0.8714509266	-0.7789288750	-0.9040158396	-0.3426613395	2.0977701539	-0.8961439232	0.6339644598	-0.9128220667	-0.4406162692	-0.1441669883	1.4980631466	0.7979861800	-0.7306913015	-0.2730079997	-0.2243082465	1.0799771690	1.5364749157	-1.1739401904	-0.1716859197	0.0138289877	1.2388597131	-1.6775141586	-1.0557394745	-0.2666246896	-0.7580546520	-1.9118630752	-1.5395721059
940	4109	-418.6800054854	3.4356376965	-3.6520289396	-4.5558007190	1.3410231563	-0.7732930735	2.3669804777	1.0225279854	1.7995110551	-0.0090565515	1.5774865677	-1.0472299325	-0.7550538753	0.4434296983	0.7002061549	1.3908649587	1.9259868172	1.2493234622	0.4343021301	-0.0731210101	-0.1409434868	1.0441163397	-0.4793438141	-0.4226444783	1.0609291066	-0.5147257452	-0.8309022078	-0.3720580286	2.0659421142	-0.9275394570	0.8843700968	-0.6992260981	-0.5009845424	-0.3642607190	1.6639316657	0.2550482180	-0.7870222635	-0.3070682286	-0.0351096971	0.8388535377	1.4250942356	-1.1301987062	-0.2092360197	-0.1129661399	0.8976272023	-1.3725738483	-0.9518065982	0.2407854499	-0.3755105815	-1.5978961733	-1.7696288730
941	4113	-417.4921688574	3.4772404392	-4.1481057365	-4.2190149362	1.2973641245	-0.5990570521	2.3545160815	0.8998087514	1.7009935272	0.1786883975	1.4090421723	-0.7886642827	-0.8597593510	0.2254449665	0.5453402728	1.6152367152	2.1018434080	1.3022205274	0.1507278148	-0.1504939528	-0.4671026073	1.4526862943	-0.5260109976	-0.2830082056	0.9158922264	-0.6552657153	-0.7847496088	0.0003714236	1.7992722956	-0.8345542266	0.7203994494	-0.6018816229	-0.5171178436	-0.1150053683	1.6852755089	0.3405191529	-0.7290098847	0.0652938034	-0.0114758269	0.5481835903	1.2868757001	-1.3318900017	-0.5086773756	-0.5887961438	0.9123245177	-1.2343256165	-0.7471823678	0.3953527442	-0.3170889123	-1.6521302929	-1.8083146716
942	4118	-416.3769401781	3.4816322451	-3.9152245211	-4.0977267093	1.1864933100	-0.5356266794	2.4242579871	0.8585679948	1.6325424687	0.0258611676	1.2997771214	-0.5701554474	-0.9729653071	0.4199734260	0.5701903249	1.1834656511	1.7989294867	1.7947841913	0.0420707562	0.0373401213	-0.2000171617	1.2553555264	-0.3313058743	-0.1783623727	0.9818370383	-0.7555204494	-0.5686379393	0.3417584082	1.5543549793	-0.7480565751	0.8674391823	-0.5191773999	-0.2162000058	0.2305459786	1.9387742574	0.2604535656	-0.8922827653	0.1259833788	-0.4285875595	0.7751060773	1.2416163108	-1.1227172644	-0.6287908175	-0.5707354107	0.8163862429	-1.2496341574	-0.8804441845	0.3974397152	-0.1825980538	-1.5538499216	-1.6938898883
